,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male)
72,France,WesternEurope,551500,64980,118.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,103,103,488885,560555,0.4,79.5,0.8,18.1,25.7,11.5,3.2,5.5,98.6,98.9,0.470666667,85,78.8,105,105.7,111.2,110.1,71,57.9
73,French Guiana,SouthAmerica,83534,283,3.4,121364.2667,2.746666667,20421.14,7.146666667,30.78666667,62.08,15.54,14.9,58.3,21.3,120,120,57735.73333,56120.33333,2.8,84.4,2.8,33.2,8.4,7.913333333,3.353333333,4.26,94.9,75.8,7.396666667,82.6,76.1,105.3266667,105.8133333,100.5933333,99.88666667,65.30666667,49.63333333
74,French Polynesia,Polynesia,4000,283,77.3,5135,1.6,18161,2.8,11.9,85.2,8.9,16.9,74.2,17,98,98,173,1491,0.7,55.9,0.9,23.3,11.9,6.793333333,1.38,5.006666667,98.5,98.5,5.754,78.6,74,102.48,106.22,99.48,97.26666667,51.05333333,32.60666667
75,Gabon,MiddleAfrica,267668,2025,7.9,13735,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,18.1,97,92,2851,2930,3.3,87.2,2.7,35.9,6.4,3.4,1.326666667,2.7,43.4,31.5,0.73,65.8,63.1,139.9,144,66.82666667,68.12666667,26.36666667,23.00666667
76,Gambia,WesternAfrica,11295,2101,207.6,942,4.7,473.2,21.1,14.9,64,30.4,14.4,55.2,29.7,82,82,32,471,3.1,59.6,4.3,45.3,3.8,7.3,1.24,2.8,61.5,55,12.35,61.6,59.1,96.8,90.1,81.14,77.44,2.5,3.7
77,Georgia,WesternAsia,69700,3912,56.3,13965,2.8,3491.4,9,24.1,66.9,44.7,11.2,44.1,11.4,85,86,2114,7236,-1.4,53.6,-0.1,19.2,20.8,7.4,4.8,2,95.2,75.9,3.3,77,68.5,118.2,115.5,103.8,103.6,47.8,39.2
78,Germany,WesternEurope,357376,82114,235.6,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,111,111,1340752,1060672,0.2,75.3,0.2,13.1,28,11.3,4.1,5,99.3,99,0.471333333,82.9,77.9,104.7,105.2,99.6,105.6,66.8,69.7
79,Ghana,WesternAfrica,238537,28834,126.7,37156,3.9,1355.6,19,26.9,54.1,41.9,14.2,43.8,5.9,144,144,7221,11939,2.4,54,3.4,38.5,5.3,3.6,1.686666667,6.2,20.2,8.6,4.81,62.6,60.7,108.7,107.3,61.1,63.1,13.2,19.1
80,Gibraltar,SouthernEurope,6,35,3457.1,1935.066667,3.32,24172.62667,5,17.43333333,77.56666667,8.92,17.41333333,72.56666667,9.64,103.6,103.8666667,234,533,0.6,100,0.1,18.1,22.4,8.78,1.773333333,4.626666667,87.78666667,79.24,12.714,77.88666667,72.60666667,101.7333333,104.1133333,95.94666667,91.99333333,47.76,32.81333333
81,Greece,SouthernEurope,131957,11160,86.6,194860,-0.2,17788,4.1,15.7,80.2,12.9,15,72.1,23,86,87,27811,47595,-0.4,78,0.5,14.2,26.5,8.1,6.3,4.1,99.2,98.1,1.038666667,83.3,78,97.1,98.1,103.4,109.5,113.7,114
82,Greenland,NorthernAmerica,2166086,56,0.1,2078,0.3,36976.7,10,15.9,74.1,4.6,12.6,82.5,9.7,99,99,553,623,-0.1,86.4,0.7,21,13.2,5.28,1.653333333,4.253333333,100,100,2.698,73.4,68.7,96.9,105.36,70.62,74.47333333,36.84666667,31.67333333
83,Grenada,Caribbean,345,108,317.1,954,6.2,8933.8,8.3,13.9,77.8,11.10666667,17.41333333,69.25333333,10.15333333,103,103,30,350,0.4,35.6,0.3,26.3,10.5,6.1,1.32,4.993333333,97.5,98.3,2.55,75.6,70.8,102.9,106.8,99,99.4,97.9,84.5
84,Guadeloupe,Caribbean,1705,450,266,5469.733333,3.16,14376.70667,10.81333333,14.46666667,74.74,3.3,13.5,65.5,26.1,100,100,1161.133333,2008.333333,0,98.4,0.5,18.6,23.6,6.893333333,2.02,5.133333333,97,89.5,9.852,84,76.8,102.7333333,104.48,94.14,90.83333333,40.59333333,28.64
85,Guam,Micronesia,549,164,304.1,1260.666667,2.946666667,14323.69333,9.573333333,12.55333333,77.87333333,0.2,14,85.7,10.7,88,88,202.2666667,792.4,0.3,94.5,1.4,24.7,14,7.873333333,2.02,4.8,89.8,89.8,12.714,81.5,76.4,101.9666667,105.1533333,97.21333333,93.61333333,50.08666667,34.67333333
86,Guatemala,CentralAmerica,108889,16914,157.8,63794,4.1,3903.5,10.8,27.2,62,32,18.5,49.4,2.4,158,158,10572,16987,2.1,51.6,3.4,35.1,6.9,6.2,2.833333333,3,77.5,49.3,0.66,75.6,69.2,99.8,103.8,63.3,67.9,23.5,20.2
87,Guinea-Bissau,WesternAfrica,36125,1861,66.2,978,4.8,530,45,14.5,40.5,60.1,5.8,34.1,6.5,137,138,885,212,2.6,49.3,4.1,41.5,4.9,5.6,1.6,2.2,33.5,8.5,9.03,57.7,54.3,107.0933333,109.6266667,71.69333333,70.48666667,23.44,19.72666667
88,Guinea,WesternAfrica,245857,12717,51.8,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,130,131,1753,2082,2.3,37.2,3.8,42.3,5.2,5.6,1.426666667,3.2,34.1,11.8,8.65,58.4,57.4,83.8,98.6,30.7,46.8,6.7,14.9
89,Guyana,SouthAmerica,214969,778,4,3282,3.1,4278.8,17.6,31.7,50.6,18.4,25.4,56.2,11.3,142,143,1453,1625,0.6,28.6,0.8,29,8.6,5.2,1.84,3.2,87.9,82,0.97,68.6,64,83.9,86.9,89,89.7,16.8,8.2
90,Haiti,Caribbean,27750,10981,398.4,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,163,166,984,3316,1.4,58.6,3.8,33,7.3,7.6,1.206666667,4.986666667,33.6,19.2,11.73,64.4,60.2,105.4133333,107.6333333,71.69333333,70.48666667,26.64,21.03333333
91,Holy See,SouthernEurope,0,1,1800,2791.533333,2.9,36584.62,4.72,18.86,76.40666667,7.326666667,19.34666667,73.24666667,9.34,102.4666667,102.4666667,343.6666667,1124.533333,0,100,0,24.66666667,15.13333333,8.16,2.02,4.853333333,89.54666667,89.68666667,12.714,78.39333333,73.42,98.99333333,100.32,95.01333333,92.93333333,49.42,33.40666667
92,Honduras,CentralAmerica,112492,9265,82.8,20365,3.6,2521.9,13,25.1,61.9,29.4,21.6,49,5.6,122,119,3657,8448,1.8,54.7,3.1,31.6,7,8.7,2.693333333,5.9,86.7,77.7,2.86,75.4,70.4,110.1,111.3,77,64.8,25.4,18.8
93,Hungary,EasternEurope,93024,9722,107.4,121715,3.1,12350.6,4.1,31.9,64,4.3,29.8,65.9,4.5,99,99,103071,92044,-0.3,71.2,0.5,14.3,26,7.4,3.3,4.7,97.8,98.6,1.291333333,78.8,71.7,101.3,101.9,105.3,105.1,56.7,45.3
94,Iceland,NorthernEurope,103000,335,3.3,16780,4.2,50936,6.4,24,69.7,4,17.7,78.2,3.6,117,117,4450,5703,0.6,94.1,1.3,20.1,20.1,8.9,3.8,7.8,98.7,100,9.204,83.8,80.6,98.6,99.7,121,116.3,103.1,60.2
95,India,SouthernAsia,3287263,1339180,450.4,2116239,7.6,1614.2,17,29.7,53.2,44.3,24.5,31.2,3.4,143,142,260327,356705,1.2,32.7,2.4,27.8,9.4,4.7,0.7,3.8,62.6,28.5,0.16,69.1,66.2,115.1,102.8,74.5,73.5,26.7,27
96,Indonesia,South-easternAsia,1910931,263991,145.7,861934,4.8,3346.5,14,41.3,44.7,31.4,22.4,46.2,5.8,139,140,144490,135653,1.2,53.7,2.7,27.4,8.6,2.8,0.2,3.6,72.3,47.5,0,70.7,66.6,104.4,107.2,86,85.7,25.7,22.9
97,Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,398563,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,106,107,45627,35333,1.2,73.4,2.1,23.7,8.8,7.5,1.5,2.9,92.8,82.3,0.02,76.2,74,111.7,106.3,88.9,89.4,67.7,75.9
98,Iraq,WesternAsia,435052,38275,88.1,164234,-2.4,4509,4.6,58,37.4,20.4,21,58.6,16.1,123,123,27341,45831,3.2,69.5,3,40.4,5,5.5,0.9,4.8,86.4,83.8,0.88,71.4,67,101.5066667,104.8466667,78.64666667,80.74666667,36.54666667,31.93333333
99,Ireland,NorthernEurope,69797,4762,69.1,283716,26.3,60513.6,1,41.7,57.3,4.8,17.7,77.4,7.6,102,102,129315,76997,0.3,63.2,1.6,21.6,19.1,7.8,2.8,5.3,89.1,92.9,0.970666667,83,78.7,102,100.9,129.4,125.6,87.6,80.1
100,Isle of Man,NorthernEurope,572,84,147.9,1026.733333,3.14,14346.52667,9.54,13.62,76.84,8.626666667,16.79333333,72.3,2.6,94.4,94.73333333,167.5333333,696.0666667,0.8,52.2,0.8,16,26.9,7.666666667,2.02,4.8,91,84.55333333,12.714,76.37333333,70.97333333,102.6733333,106.0466667,96.52,94.97333333,50.08666667,34.67333333
101,Israel,WesternAsia,22072,8322,384.5,299413,2.5,37129.4,1.3,21.2,77.5,1,17.9,81,5.9,112,112,60571,65803,1.6,92.1,1.4,27.9,16.1,7.8,3.6,5.8,100,100,1.524,83.7,80,105.1,104.4,103,102,75.5,54.6
102,Italy,SouthernEurope,302073,59360,201.8,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,89,89,461529,404578,-0.1,69,0.4,13.5,29.4,9.2,3.9,4.1,99.5,99.6,0.568666667,84.7,79.9,100.6,101.4,101.7,104.1,72.2,53.2
103,Jamaica,Caribbean,10990,2890,266.9,14262,1,5105.8,7.1,22.3,70.5,17.9,15.3,66.8,13.1,102,102,1202,4767,0.4,54.8,0.9,22.7,13.6,5.4,1.386666667,5.5,79.9,84.1,0.42,77.9,73.1,105.8533333,109.2866667,85.1,79.2,34.6,20.1
104,Japan,EasternAsia,377930,127484,349.7,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3,96,97,644932,606924,-0.1,93.5,0.6,12.9,33.4,10.2,2.3,3.6,100,100,0.366666667,86.4,80,101.2,101.3,101.9,101.6,60.9,65.7
105,Jordan,WesternAsia,89318,9702,109.3,37517,2.4,4940.1,4,27.7,68.4,2,17.8,80.2,13.4,134,135,7509,19207,4.9,83.7,3.8,35.5,5.7,7.5,2.6,4.146666667,98.6,98.9,5.8,75.5,72.2,97.6,97.1,84.8,80.2,47.3,42.5
106,Kazakhstan,CentralAsia,2724902,18204,6.7,181754,1.2,10312.1,5,32.5,62.5,18.1,20.4,61.6,5.6,126,127,36775,25175,1.6,53.2,0.9,27.9,11.1,4.4,3.3,2.8,97,98.1,0.05,73.9,64.3,109.1,108.8,113.5,110.6,51.3,41.4
107,Kenya,EasternAfrica,591958,49700,87.3,63399,5.6,1376.7,32,19,49,61.9,8.6,29.5,10.8,126,126,5688,14109,2.7,25.6,4.3,40.5,4.3,5.7,0.2,5.3,31.2,29.7,3.93,67.8,63,108.7,109.3,52.26666667,59.04666667,15.76666667,16.64
108,Kiribati,Micronesia,726,116,143.7,162,3.7,1442.9,24.1,13.6,62.2,20.64666667,15.91333333,61.23333333,12.14,61,61,3,116,1.8,44.3,1.8,35,6.4,10.2,0.2,4.993333333,51.2,30.6,20.05,68.9,62.4,106.1,102.9,92.6,87.99333333,39.58,27.86666667
109,Kuwait,WesternAsia,17818,4136,232.1,114054,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,199,199,46238,30825,5.4,98.3,3.6,21.1,4.9,3,1.9,4.346666667,100,100,1.411333333,75.5,73.5,103,102.4,102.7,88.2,33.1,20.4
110,Kyrgyzstan,CentralAsia,199949,6045,31.5,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21,49.8,7.7,108,110,1423,3844,1.6,35.7,1.6,31.8,7.6,6.5,1.9,5.5,89.1,95.6,12.16,74.3,66.4,106.8,107.9,92.8,91.4,53.3,40.8
111,Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4,17.7,1.5,193,186,2066,4513,1.3,38.6,4.9,32.9,6.3,1.9,0.2,3.3,94.5,56,4.03,66.8,63.9,109.1,113.5,59.3,64.1,16.5,17.3
112,Latvia,NorthernEurope,64573,1950,31.3,27004,2.7,13704.1,3.2,23.3,73.5,7.3,23,69.7,9.6,130,130,11433,13596,-1.2,67.4,-0.7,15.4,26.2,5.9,3.2,5.3,90.8,81.5,3.857333333,78.7,68.8,99.2,100.1,119.1,119.9,79.2,55.5
113,Lebanon,WesternAsia,10452,6082,594.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7,95,95,3402,20409,6,87.8,3.2,23.1,12,6.4,2.4,2.6,80.7,80.7,2.04,80.9,77.3,88.3,96.6,61,61.5,45.7,39.5
114,Lesotho,SouthernAfrica,30355,2233,73.6,2008,2.8,940.6,7.7,31.3,61,39.7,20,40.3,27.5,101,100,648,1727,1.3,27.3,3,35.4,6.7,10.6,1.106666667,5.086666667,37.3,27.6,4.11,54.7,50.1,104,107,62,45.7,11.7,8
115,Liberia,WesternAfrica,111369,4732,49.1,2053,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43,4.1,104,121,641,727,2.6,49.7,3.4,41.8,4.9,10,2.613333333,2.8,28,5.9,61.73,61.6,59.8,89.1,98.5,32.5,41.9,9,14.2
116,Libya,NorthernAfrica,1676198,6375,3.6,34457,-10.2,5488.2,0.9,67.1,32,19.1,25.1,55.8,19.2,113,114,4615,8876,0.2,78.6,1.1,28.2,6.6,5,2.1,4.38,96.8,95.7,0.51,74.4,68.8,93.25333333,101.8733333,55.73333333,58.66,23.86666667,22.84666667
117,Liechtenstein,WesternEurope,160,38,237,6361,1.4,169491.8,0.7,40.1,59.2,2.506666667,17.38666667,76.26,2.6,102,102,1918.266667,3685.666667,0.8,14.3,0.5,14.9,22.7,6.2,2.886666667,2.6,93.62,89.9,4.661333333,81.94666667,76.15333333,104.8,106.5,101.7,130.7,21.9,44.8
118,Lithuania,NorthernEurope,65286,2890,46.1,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,125,125,25025,27501,-1.3,66.5,-0.5,14.8,25.3,6.6,4.3,4.6,97.2,82.8,3.272,79.3,68.5,103.7,103.2,106.1,110.3,82,55.8
119,Luxembourg,WesternEurope,2586,584,225.3,56802,3.5,100160.8,0.2,12.1,87.7,1.3,10.2,88.5,5.6,98,98,12838,19124,2.2,90.2,1.7,16.4,19.6,6.9,2.9,4.1,97.5,98.5,2.766666667,83.4,78.8,97.3,96.9,103.5,101.1,20.7,18.2
120,Madagascar,EasternAfrica,587295,25571,44,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119,120,2256,2965,2.7,35.1,4.7,41,4.8,3,0.1,2.1,18,8.7,7.05,66,63,148.9,148.9,38.1,38.8,4.6,5
121,Malawi,EasternAfrica,118484,18622,197.5,6420,3,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,149,150,875,1649,2.9,16.3,3.8,44,4.3,11.4,2.313333333,5.6,47.3,39.8,16.53,63.1,58.2,147,144,41,45.8,0.6,1
122,Malaysia,South-easternAsia,330323,31624,96.3,296284,5,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,122,130,189414,168375,1.8,74.7,2.7,24.3,9.7,4.2,1.3,5,96.1,95.9,0,77.1,72.6,101.9,101.7,80.7,74.6,31.8,20.8
123,Maldives,SouthernAsia,300,436,1454.4,3435,2.8,9446.5,3.1,22,74.9,7.7,22.8,69.5,2.9,65,65,140,2128,2.8,45.5,4.5,23.4,6.3,13.7,1.32,5.2,97.5,98.3,0.95,77.4,75.4,98.6,97.3,98.00666667,94.84,20.3,12.4
124,Mali,WesternAfrica,1240192,18542,15.2,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,154,157,3030,2510,2.9,39.9,5.1,47.7,4,7,0.986666667,3.7,37.5,16.1,9.45,56.9,55.6,72.1,79.3,36.8,45.6,4.1,9.6
125,Malta,SouthernEurope,315,431,1346.4,9747,6.2,23280.7,1.4,15,83.6,1.2,20.9,77.9,5.4,96,96,4039,7182,0.5,95.4,0.5,14.4,26.1,9.7,3.9,7.8,100,100,5.185333333,82,78.6,104.7,102.2,98.1,91.7,55.2,40.3
126,Marshall Islands,Micronesia,181,53,295.2,183,0.6,3452.6,16.4,10.2,73.3,15.05333333,16.47333333,66.24666667,4.7,115,115,27,86,0.2,72.7,0.6,39,5.5,17.1,0.5,4.993333333,84.5,56.2,24.11,72.5,71.3,93.3,93.5,80.4,73.1,41.2,44.6
127,Martinique,Caribbean,1128,385,363.1,1079.866667,3.4,11743.02667,9.32,13.04666667,77.64,3.9,11.8,69,22.8,78,78,273.6,738.2666667,-0.5,88.9,0.2,17.7,25.7,7.873333333,2.02,5.046666667,94,72.7,9.264,84.4,77.8,104.1,107.6466667,95.18666667,91.64,46.46666667,33.09333333
128,Mauritania,WesternAfrica,1030700,4420,4.3,5023,1.2,1235,20.9,41.7,37.4,40.3,9.5,50.2,12,125,125,1623,2174,2.9,59.9,3.5,39.9,5,3.8,0.76,2.9,57.5,13.8,5.02,64.1,61.2,105,100,29.5,31.7,3.6,7.1
129,Mauritius,EasternAfrica,1969,1265,623.2,11511,3.5,9040.9,2.9,22.7,74.4,7.3,25.2,67.5,7.6,96,96,2194,4655,0.2,39.7,-0.1,18.4,16.6,4.8,1.366666667,4.9,93.9,92.6,0.67,77.7,70.7,103.9,102.2,97.9,93.6,41.7,31.7
130,Mayotte,EasternAfrica,418.7333333,253,674.8,1710.266667,3.68,26984.07333,7.46,18.88,73.66666667,8.426666667,16.69333333,72.6,12.50666667,100.7333333,101,941.4,1741.2,2.8,47,1.9,40.6,5.8,8.326666667,1.826666667,4.546666667,85.52,79.56666667,14.464,82.9,76,102.02,103.7933333,96.54666667,94.32666667,37.05333333,27.17333333
131,Mexico,CentralAmerica,1964375,129163,66.4,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,120,120,373883,387064,1.4,79.2,1.6,26.7,10.1,6.3,2.1,5.3,88,74.5,0.03,78.9,74,103.2,103.6,93.5,87.7,30,29.9
132,Micronesia (Federated States of),Micronesia,702,106,150.8,315,3.7,3015.2,27.8,6.5,65.8,16.79333333,16.65333333,64.32666667,12.14,99,99,6,40,0.2,22.4,0.3,33.1,8,13.7,1.32,12.5,85.1,49,34.11,69.8,67.7,95.7,95.4,94.47333333,89.68666667,43.1,29.07333333
133,Monaco,WesternEurope,2,39,25969.8,6258,5.4,165870.6,1.04,13.4,86.6,2.52,18.24666667,75.26,9.16,101.7333333,102.3333333,1796.933333,3335.733333,0.6,100,0.8,22.64,18.67333333,4.3,6.6,1,100,90.14,3.598,82.2,76.52666667,103.2866667,105.8133333,102.0733333,101.9666667,58.23333333,38.8
134,Mongolia,EasternAsia,1564116,3076,2,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,147,149,4917,3358,1.9,72,2.8,29.7,6.6,4.7,2.9,4.6,66.4,42.6,2.21,72.7,64.5,100,101.8,92.4,90.5,79.7,57.7
135,Montenegro,SouthernEurope,13812,629,46.8,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,66,66,354,2263,0.1,64,0.3,18.1,21.3,6.4,2.3,4.793333333,98,92.2,2.44,78.8,74,93.3,95.2,90.3,90.4,29.76,23.38
136,Montserrat,Caribbean,103,5,51.8,59,0.4,11553.4,1.4,12.7,85.9,10.22,17.64,69.91333333,5.6,103,103,4,36,0.7,9,0.7,19.7,19.6,6.506666667,1.38,5.02,92.18,91.56666667,12.05533333,80.20666667,73.82,102.8133333,106.82,97.84,95.44666667,43.1,29.07333333
137,Morocco,NorthernAfrica,446550,35740,80.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130,130,22858,41696,1.4,60.2,2.3,27.4,10.7,5.9,0.6,4.706666667,84.1,65.5,1.51,76,73.7,111.6,117.7,63.5,74.4,27.5,28.7
138,Mozambique,EasternAfrica,799380,29669,37.7,14806,6.6,529.2,24.6,21,54.4,75,4.1,21,24.1,137,137,3352,5295,2.9,32.2,3.3,44.8,4.8,7,0.1,6.5,42.4,10.1,12.54,58.1,54,101.2,110.4,31.1,33.8,5.4,7.4
139,Myanmar,South-easternAsia,676577,53371,81.7,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130,128,11673,15696,0.9,34.1,2.5,26.8,9.4,2.3,0.6,3.966666667,84.3,77.1,2.23,68.3,63.7,98.3,101,52,50.6,14.9,12.1
140,Namibia,SouthernAfrica,824116,2534,3.1,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,88,89,4816,6721,2.2,46.7,4.2,36.7,5.5,5.5,0.793333333,3.86,54.5,16.8,1.24,64.3,59.1,109.5,113.3,45.29333333,51.24,19.16666667,19.20666667
141,Nauru,Micronesia,21,11,568,189,18.7,18469.2,3,59.9,37.1,8.173333333,18.21333333,71.37333333,23,112,112,331.6666667,931.1333333,2.3,100,0.2,39.5,4,3.3,1.766666667,5.426666667,65.6,90.72666667,9.826,64.8,57.8,100.4,109.5,83.4,81.9,47.50666667,31.48666667
142,Nepal,SouthernAsia,147181,29305,204.4,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3,139,139,703,5249,1.2,18.6,3.2,30.9,8.8,5.8,2.28,3.7,56,43.5,5.73,70.4,67.4,141.2,130.7,72.2,67.1,15.1,14.8
143,Netherlands,WesternEurope,41542,17036,505.2,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,5.6,115,115,511714,420969,0.3,90.5,1,16.4,25,10.9,3.4,5.5,97.5,99.9,0.583333333,83.1,79.4,104.4,105,136.3,134.7,82.5,74.7
144,New Caledonia,Melanesia,18575,276,15.1,8937,3.2,33965.7,1.4,26,72.6,3,26.9,70.1,15.1,102,103,1344,2422,1.4,70.2,2.2,22.5,14.2,5.773333333,1.946666667,4.993333333,100,100,1.996666667,79.3,73.7,102.28,106,98.44,95.5,41.52666667,26.96
145,New Zealand,Oceania,268107,4706,17.9,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,5.5,116,118,33833,36423,1.1,86.3,1,19.8,20.8,11,2.9,6.4,77.66666667,63.91333333,3.948666667,83.1,79.5,99.1,99.6,119.9,113.4,96.7,71.6
146,Nicaragua,CentralAmerica,130373,6218,51.7,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225,5927,1.2,58.8,2,29,8.4,9,0.9,4.146666667,76.5,55.7,3.68,77.5,71.4,105.2866667,106.7666667,74.90666667,75.14666667,32.18666667,28.21333333
147,Niger,WesternAfrica,1267000,21477,17,7143,3.6,359,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148,148,927,1861,3.8,18.7,5.1,50.2,4.2,6,0.986666667,6.7,37.9,4.6,12.26,59.5,57.6,66.8,77.9,17.2,24.2,0.9,2.6
148,Nigeria,WesternAfrica,923768,190886,209.6,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084,36533,2.7,47.8,4.7,44,4.5,3.7,1.433333333,4.833333333,32.8,25.4,0.52,52.6,51.2,92.8,94.5,53.5,57.8,8.3,11.8
149,Niue,Polynesia,260,2,6.2,1443.866667,2.753333333,28864.9,3.92,15.27333333,80.79333333,8.486666667,17.28666667,73.12666667,9.173333333,101,101,197.6666667,696.2,-0.1,42.5,-0.9,22.8,20.1,7.4,2.02,4.8,100,100,12.714,76.3,70.1,120.2,147.2,114.1,104.1,50.08666667,34.67333333
