,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,Day5,Day25,Day50,ClusterGMM
1,Albania,28748.0,2930,106.9,11541.0,2.6,3984.2,22.4,26.0,51.7,41.4,18.3,40.3,15.8,134.0,134.0,1962.0,4669.0,-0.1,57.4,2.2,17.4,19.0,5.9,1.3,3.5,95.5,90.2,2.96,79.9,75.6,111.7,115.5,92.5,98.8,68.1,48.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,259,726,0
3,Andorra,468.0,77,163.8,2812.0,0.8,39896.4,0.5,10.8,88.6,3.5333333330000003,17.63333333,76.59333333,11.26666667,105.53333329999998,106.2,100.0,1355.0,-1.6,85.1,0.1,14.4,19.0,8.1,3.7,3.3,100.0,100.0,7.870666667,80.77333333,75.23333333,101.82,105.32,99.74,97.43333333,54.03333333,34.76666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,564,748,0
5,Anguilla,91.0,15,165.7,320.0,2.9,21879.6,2.3,15.7,82.0,6.213333333,17.28,74.26666667,10.76,97.13333333,97.13333333,2.0,154.0,1.2,100.0,1.2,23.3,7.6,6.84,1.72,5.4,97.9,90.56,11.446,79.29333333,73.68666667,103.2066667,107.22,99.60666667,97.77333333,49.17333333,32.17333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0
6,Antigua and Barbuda,442.0,102,231.8,1356.0,4.1,14764.5,1.9,18.3,79.8,8.446666667,17.80666667,71.5,11.66666667,88.0,88.0,61.0,491.0,1.1,23.8,-0.9,23.9,10.9,5.5,1.38,5.353333333,91.4,91.4,0.12,78.2,73.3,94.1,100.0,103.8,101.6,31.1,15.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,25,0
7,Argentina,2780400.0,44271,16.2,632343.0,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,119.0,119.0,57733.0,55610.0,1.0,91.8,1.0,24.9,15.4,4.8,3.8,5.3,96.2,98.3,0.01,79.8,72.2,109.8,110.2,110.3,103.4,102.9,63.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,820,3423,0
9,Aruba,180.0,105,584.8,2702.0,0.1,26005.4,0.5,15.4,84.1,0.6,14.0,85.1,10.52666667,101.7333333,101.7333333,95.0,1117.0,0.5,41.5,-0.3,17.9,19.7,6.613333333,1.766666667,6.2,97.7,97.7,6.417333332999999,77.8,72.9,115.4,119.1,112.1,110.3,21.4,9.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,95,101,0
10,Australia,7692060.0,24451,3.2,1230859.0,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111.0,111.0,189630.0,189406.0,1.5,89.4,1.5,19.0,21.0,9.4,3.4,5.2,100.0,100.0,2.640666667,84.4,80.2,102.1,102.3,133.6,141.3,106.3,75.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2799,6612,0
11,Austria,83871.0,8736,106.0,376967.0,1.0,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108.0,108.0,145503.0,149299.0,0.6,66.0,0.4,14.1,25.1,11.2,5.2,5.5,100.0,100.0,0.647333333,83.5,78.4,102.2,103.7,97.6,102.4,89.2,74.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,5888,14710,0
13,Bahamas,13940.0,395,39.5,8854.0,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,132.0,132.0,365.0,2904.0,1.4,82.9,1.5,20.5,13.5,7.7,1.553333333,5.506666667,92.0,92.0,2.862666667,78.1,72.0,101.2333333,104.42,98.66,95.46,42.36,25.37333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,83,0
16,Barbados,431.0,286,664.5,4385.0,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,88.0,88.0,517.0,1621.0,0.3,31.5,0.1,19.1,21.0,7.5,1.553333333,6.6,96.2,96.2,6.417333332999999,77.7,72.9,94.2,93.1,110.7,107.9,90.6,40.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,67,82,0
17,Belarus,207600.0,9468,46.7,54609.0,-3.9,5750.8,7.5,38.9,53.6,9.6,32.0,58.4,0.5,122.0,122.0,23414.0,27464.0,0.0,76.7,0.0,16.7,21.3,5.7,4.1,4.9,94.1,95.2,0.2,77.7,66.5,101.3,101.4,106.4,107.8,100.7,75.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,94,6723,0
18,Belgium,30528.0,11429,377.5,455107.0,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108.0,107.0,398033.0,372713.0,0.6,97.9,0.5,17.1,24.6,10.6,3.0,6.6,99.5,99.4,0.639333333,83.0,78.0,104.2,104.2,177.7,156.4,85.4,65.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,206,9151,42392,0
21,Bermuda,53.0,61,1227.0,5853.0,0.4,94399.9,0.7,5.3,94.0,1.6,10.3,87.6,6.7,115.0,115.0,8.0,971.0,-0.6,100.0,0.2,14.8,24.9,6.613333333,2.386666667,1.7,93.96,91.76666667,4.498666667,85.1,77.5,89.4,91.3,75.5,67.7,34.1,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,57,118,0
24,Bosnia and Herzegovina,51209.0,3507,68.8,16251.0,3.1,4265.0,7.3,26.5,66.2,18.0,30.4,51.7,25.4,96.0,97.0,5327.0,9130.0,-1.0,39.8,0.1,14.1,23.4,9.6,1.9,4.46,98.9,92.0,2.2,78.8,73.7,107.20666670000001,107.99333329999999,74.79333333,75.15333333,34.72,27.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,632,1689,0
27,British Virgin Islands,151.0,31,208.0,908.0,-1.1,30144.5,1.0,11.1,87.8,3.9933333330000003,18.12,75.65333333,10.41333333,103.0,103.0,0.0,444.0,2.0,46.2,1.8,22.67333333,18.5,6.613333333,1.766666667,6.6,97.5,97.5,7.865333333,79.29333333,73.68666667,102.06,105.82,98.76666667,96.46,54.03333333,34.76666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0
29,Bulgaria,111002.0,7085,65.3,48953.0,3.0,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,117.0,119.0,26088.0,28875.0,-0.6,73.9,-0.3,14.2,27.7,8.4,4.0,4.1,86.8,83.7,7.28,77.8,70.8,96.7,97.7,97.4,100.5,82.9,65.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,399,1247,0
35,Canada,9984670.0,36624,4.0,1552808.0,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,109.0,109.0,388911.0,402954.0,1.0,81.8,1.2,16.0,23.5,10.4,2.5,5.3,100.0,99.0,2.0226666669999998,83.8,79.7,101.1,100.1,110.0,109.8,51.12666667,42.19333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,3385,34777,0
36,Cayman Islands,264.0,62,256.5,3726.0,0.7,62132.0,0.3,7.5,92.2,0.8,15.5,83.6,6.3,104.0,104.0,18.0,991.0,1.5,100.0,1.5,18.3,6.7,6.446666667000001,1.84,4.386666667,95.6,91.12,4.0273333330000005,81.40666667,75.84,102.4066667,105.98,98.82666667,96.33333333,47.27333333,29.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53,78,0
39,Chile,756102.0,18055,24.3,240796.0,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111.0,111.0,59884.0,58804.0,0.9,89.5,1.1,20.3,16.0,7.8,0.7,4.9,100.0,90.9,0.02,81.3,76.2,100.0,103.3,101.3,100.0,94.4,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1610,10832,0
45,Croatia,56594.0,4189,74.9,48676.0,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64.0,11.7,91.0,91.0,13648.0,21830.0,-0.4,59.0,0.1,14.7,26.8,7.8,3.1,4.6,97.8,95.8,1.780666667,80.4,73.6,98.1,97.8,100.6,95.9,79.8,58.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,418,1871,0
46,Cuba,109884.0,11485,107.9,87206.0,4.4,7656.6,5.0,20.5,74.5,12.9,11.7,75.3,3.0,100.0,101.0,18000.0,4911.0,0.2,77.1,0.1,16.0,20.1,11.1,7.5,4.38,94.4,89.1,2.745333333,81.3,77.1,94.9,100.1,102.7,98.2,43.0,30.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,350,1537,0
47,Cyprus,9251.0,1180,127.7,19561.0,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,80.0,80.0,1920.0,6604.0,0.9,66.9,0.9,16.8,18.5,7.4,2.5,6.1,100.0,100.0,2.991333333,82.2,77.7,99.3,99.3,99.4,100.1,69.4,51.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,465,857,0
48,Czechia,78868.0,10618,137.5,185156.0,4.5,17561.7,2.5,37.8,59.7,2.5,37.0,60.5,3.9,102.0,102.0,161248.0,140316.0,0.1,73.0,0.3,15.4,25.6,7.4,3.7,4.1,99.1,99.2,1.2046666670000001,81.2,75.1,99.9,99.6,106.1,105.1,76.3,54.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1654,6787,0
50,Denmark,42921.0,5734,135.1,301308.0,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6.0,105.0,105.0,94355.0,85133.0,0.5,87.7,0.6,16.5,25.3,10.8,3.6,8.6,99.6,99.6,0.9946666670000001,82.2,78.1,100.7,102.3,133.4,128.3,96.3,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,1724,7384,0
52,Dominica,750.0,74,98.6,512.0,-1.8,7051.1,15.4,13.2,71.5,15.05333333,16.47333333,66.24666667,11.0,110.0,111.0,23.0,214.0,0.5,69.5,0.8,23.47333333,17.39333333,5.5,1.32,4.993333333,89.85333333,83.69333333,2.36,79.34666667,73.95333333,114.8,117.2,99.8,101.2,43.1,29.07333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,16,0
53,Dominican Republic,48671.0,10767,222.8,67103.0,7.0,6373.6,6.6,28.0,65.4,13.1,16.9,70.0,14.4,136.0,138.0,3747.0,22725.0,1.2,79.0,2.6,29.3,10.2,4.4,1.5,3.9666666669999997,86.2,75.7,0.43,76.4,70.2,98.7,108.1,81.7,74.1,65.0,35.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1828,7288,0
59,Estonia,45227.0,1310,30.9,22460.0,1.4,17112.0,3.4,27.4,69.2,3.8,29.0,67.3,7.2,136.0,136.0,13952.0,15759.0,-0.3,67.5,-0.4,16.4,25.9,6.4,3.3,5.5,97.5,96.6,5.052,81.2,71.8,98.5,98.3,114.7,115.6,84.8,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,679,1592,0
62,Faroe Islands,1393.0,49,35.3,1610.866667,4.173333333,26819.32667,7.74,19.7,72.56666667,12.65333333,16.45333333,68.64666667,4.0,102.0,102.0,1192.0,976.0,0.2,42.0,0.5,21.0,22.5,7.026666667000001,1.773333333,4.566666667,83.38,78.6,10.06933333,84.5,78.3,103.4533333,107.5,94.74,93.40666667,46.94,32.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,159,187,0
64,Finland,338440.0,5523,18.2,231960.0,0.2,42148.1,2.5,26.8,70.6,4.2,22.0,73.8,8.9,101.0,101.0,57326.0,60502.0,0.4,84.2,0.5,16.4,27.8,9.7,3.0,7.2,99.4,88.0,2.2713333330000003,83.7,77.7,101.4,101.7,156.3,142.8,95.6,79.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,1218,4284,0
65,France,551500.0,64980,118.7,2418946.0,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,103.0,103.0,488885.0,560555.0,0.4,79.5,0.8,18.1,25.7,11.5,3.2,5.5,98.6,98.9,0.47066666700000004,85.0,78.8,105.0,105.7,111.2,110.1,71.0,57.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,423,25233,112606,0
66,French Polynesia,4000.0,283,77.3,5135.0,1.6,18161.0,2.8,11.9,85.2,8.9,16.9,74.2,17.0,98.0,98.0,173.0,1491.0,0.7,55.9,0.9,23.3,11.9,6.793333333,1.38,5.006666667,98.5,98.5,5.754,78.6,74.0,102.48,106.22,99.48,97.26666667,51.05333333,32.60666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,51,60,0
69,Georgia,69700.0,3912,56.3,13965.0,2.8,3491.4,9.0,24.1,66.9,44.7,11.2,44.1,11.4,85.0,86.0,2114.0,7236.0,-1.4,53.6,-0.1,19.2,20.8,7.4,4.8,2.0,95.2,75.9,3.3,77.0,68.5,118.2,115.5,103.8,103.6,47.8,39.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,85,416,0
70,Germany,357376.0,82114,235.6,3363600.0,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,111.0,111.0,1340752.0,1060672.0,0.2,75.3,0.2,13.1,28.0,11.3,4.1,5.0,99.3,99.0,0.47133333299999997,82.9,77.9,104.7,105.2,99.6,105.6,66.8,69.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,400,36508,141672,0
72,Gibraltar,6.0,35,3457.1,1935.0666670000003,3.32,24172.626669999998,5.0,17.43333333,77.56666667,8.92,17.41333333,72.56666667,9.64,103.6,103.8666667,234.0,533.0,0.6,100.0,0.1,18.1,22.4,8.78,1.773333333,4.626666667,87.78666667,79.24,12.714,77.88666667,72.60666667,101.7333333,104.1133333,95.94666667,91.99333333,47.76,32.81333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,129,144,0
73,Greece,131957.0,11160,86.6,194860.0,-0.2,17788.0,4.1,15.7,80.2,12.9,15.0,72.1,23.0,86.0,87.0,27811.0,47595.0,-0.4,78.0,0.5,14.2,26.5,8.1,6.3,4.1,99.2,98.1,1.038666667,83.3,78.0,97.1,98.1,103.4,109.5,113.7,114.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1061,2408,0
74,Greenland,2166086.0,56,0.1,2078.0,0.3,36976.7,10.0,15.9,74.1,4.6,12.6,82.5,9.7,99.0,99.0,553.0,623.0,-0.1,86.4,0.7,21.0,13.2,5.28,1.6533333330000002,4.2533333330000005,100.0,100.0,2.698,73.4,68.7,96.9,105.36,70.62,74.47333333,36.84666667,31.67333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,11,11,0
75,Grenada,345.0,108,317.1,954.0,6.2,8933.8,8.3,13.9,77.8,11.10666667,17.41333333,69.25333333,10.15333333,103.0,103.0,30.0,350.0,0.4,35.6,0.3,26.3,10.5,6.1,1.32,4.993333333,97.5,98.3,2.55,75.6,70.8,102.9,106.8,99.0,99.4,97.9,84.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,21,0
76,Guam,549.0,164,304.1,1260.666667,2.9466666669999997,14323.693330000002,9.573333332999999,12.55333333,77.87333333,0.2,14.0,85.7,10.7,88.0,88.0,202.2666667,792.4,0.3,94.5,1.4,24.7,14.0,7.873333333,2.02,4.8,89.8,89.8,12.714,81.5,76.4,101.9666667,105.15333329999999,97.21333333,93.61333333,50.08666667,34.67333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,133,151,0
83,Hungary,93024.0,9722,107.4,121715.0,3.1,12350.6,4.1,31.9,64.0,4.3,29.8,65.9,4.5,99.0,99.0,103071.0,92044.0,-0.3,71.2,0.5,14.3,26.0,7.4,3.3,4.7,97.8,98.6,1.2913333329999999,78.8,71.7,101.3,101.9,105.3,105.1,56.7,45.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,492,2443,0
84,Iceland,103000.0,335,3.3,16780.0,4.2,50936.0,6.4,24.0,69.7,4.0,17.7,78.2,3.6,117.0,117.0,4450.0,5703.0,0.6,94.1,1.3,20.1,20.1,8.9,3.8,7.8,98.7,100.0,9.204,83.8,80.6,98.6,99.7,121.0,116.3,103.1,60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,737,1771,0
89,Ireland,69797.0,4762,69.1,283716.0,26.3,60513.6,1.0,41.7,57.3,4.8,17.7,77.4,7.6,102.0,102.0,129315.0,76997.0,0.3,63.2,1.6,21.6,19.1,7.8,2.8,5.3,89.1,92.9,0.970666667,83.0,78.7,102.0,100.9,129.4,125.6,87.6,80.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,2121,16040,0
